C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\vgg.py 
C:\Users\AIVS\PycharmProjects\tmo\vgg.py:370: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  crop_idx = int(np.random.randint(0,7, 1))
iter: 1000, train loss: 4.871809482574463, lr: 0.010000000000000002
iter: 2000, train loss: 4.993740558624268, lr: 0.010000000000000002
iter: 3000, train loss: 4.4706549644470215, lr: 0.010000000000000002
iter: 4000, train loss: 4.536643981933594, lr: 0.010000000000000002
iter: 5000, train loss: 4.3050713539123535, lr: 0.010000000000000002
iter: 6000, train loss: 4.234636306762695, lr: 0.010000000000000002
iter: 7000, train loss: 4.121333122253418, lr: 0.010000000000000002
iter: 8000, train loss: 3.8588762283325195, lr: 0.010000000000000002
iter: 9000, train loss: 3.495284080505371, lr: 0.010000000000000002
iter: 10000, train loss: 3.9995827674865723, lr: 0.010000000000000002
count : 6954, accuracy : 13.437161848817436
iter: 11000, train loss: 3.685922145843506, lr: 0.010000000000000002
iter: 12000, train loss: 3.5152175426483154, lr: 0.010000000000000002
iter: 13000, train loss: 3.232912063598633, lr: 0.010000000000000002
iter: 14000, train loss: 3.3619837760925293, lr: 0.010000000000000002
iter: 15000, train loss: 3.6836211681365967, lr: 0.010000000000000002
iter: 16000, train loss: 3.189990758895874, lr: 0.010000000000000002
iter: 17000, train loss: 2.9033730030059814, lr: 0.010000000000000002
iter: 18000, train loss: 3.416269302368164, lr: 0.010000000000000002
iter: 19000, train loss: 3.484950065612793, lr: 0.010000000000000002
iter: 20000, train loss: 3.0320241451263428, lr: 0.010000000000000002
count : 13356, accuracy : 25.807698253207604
iter: 21000, train loss: 2.887984037399292, lr: 0.010000000000000002
iter: 22000, train loss: 3.023404836654663, lr: 0.010000000000000002
iter: 23000, train loss: 2.9113147258758545, lr: 0.010000000000000002
iter: 24000, train loss: 3.385251760482788, lr: 0.010000000000000002
iter: 25000, train loss: 3.049794912338257, lr: 0.010000000000000002
iter: 26000, train loss: 2.5962884426116943, lr: 0.010000000000000002
iter: 27000, train loss: 2.3113133907318115, lr: 0.010000000000000002
iter: 28000, train loss: 2.3987202644348145, lr: 0.010000000000000002
iter: 29000, train loss: 2.3153531551361084, lr: 0.010000000000000002
iter: 30000, train loss: 2.697686195373535, lr: 0.010000000000000002
count : 14597, accuracy : 28.205673210697167
iter: 31000, train loss: 2.4519686698913574, lr: 0.010000000000000002
iter: 32000, train loss: 2.2585175037384033, lr: 0.010000000000000002
iter: 33000, train loss: 3.0452377796173096, lr: 0.010000000000000002
iter: 34000, train loss: 2.6310997009277344, lr: 0.010000000000000002
iter: 35000, train loss: 2.2454946041107178, lr: 0.010000000000000002
iter: 36000, train loss: 2.6751110553741455, lr: 0.010000000000000002
iter: 37000, train loss: 2.4549803733825684, lr: 0.010000000000000002
iter: 38000, train loss: 2.5785083770751953, lr: 0.010000000000000002
iter: 39000, train loss: 2.206690788269043, lr: 0.010000000000000002
iter: 40000, train loss: 1.7317581176757812, lr: 0.010000000000000002
count : 19391, accuracy : 37.46908332045138
iter: 41000, train loss: 2.5717427730560303, lr: 0.010000000000000002
iter: 42000, train loss: 2.211775541305542, lr: 0.010000000000000002
iter: 43000, train loss: 1.6807829141616821, lr: 0.010000000000000002
iter: 44000, train loss: 1.806160807609558, lr: 0.010000000000000002
iter: 45000, train loss: 2.6633784770965576, lr: 0.010000000000000002
iter: 46000, train loss: 1.9573841094970703, lr: 0.010000000000000002
iter: 47000, train loss: 2.1366305351257324, lr: 0.010000000000000002
iter: 48000, train loss: 1.8190104961395264, lr: 0.010000000000000002
iter: 49000, train loss: 2.6252293586730957, lr: 0.010000000000000002
iter: 50000, train loss: 2.1639397144317627, lr: 0.0010000000000000002
count : 21675, accuracy : 41.88243932601638
iter: 51000, train loss: 1.535284161567688, lr: 0.0010000000000000002
iter: 52000, train loss: 1.7054998874664307, lr: 0.0010000000000000002
iter: 53000, train loss: 1.8430200815200806, lr: 0.0010000000000000002
iter: 54000, train loss: 1.5309083461761475, lr: 0.0010000000000000002
iter: 55000, train loss: 1.6828702688217163, lr: 0.0010000000000000002
iter: 56000, train loss: 1.3906575441360474, lr: 0.0010000000000000002
iter: 57000, train loss: 1.5442463159561157, lr: 0.0010000000000000002
iter: 58000, train loss: 1.3607969284057617, lr: 0.0010000000000000002
iter: 59000, train loss: 1.1872979402542114, lr: 0.0010000000000000002
iter: 60000, train loss: 1.6338365077972412, lr: 0.0010000000000000002
count : 25597, accuracy : 49.460890400371
iter: 61000, train loss: 1.408625841140747, lr: 0.0010000000000000002
iter: 62000, train loss: 1.3238344192504883, lr: 0.0010000000000000002
iter: 63000, train loss: 1.5399748086929321, lr: 0.0010000000000000002
iter: 64000, train loss: 1.3401914834976196, lr: 0.0010000000000000002
iter: 65000, train loss: 1.3513129949569702, lr: 0.0010000000000000002
iter: 66000, train loss: 1.3853485584259033, lr: 0.0010000000000000002
iter: 67000, train loss: 1.593516230583191, lr: 0.0010000000000000002
iter: 68000, train loss: 1.1543736457824707, lr: 0.0010000000000000002
iter: 69000, train loss: 1.2289739847183228, lr: 0.0010000000000000002
iter: 70000, train loss: 1.093780755996704, lr: 0.0010000000000000002
count : 25584, accuracy : 49.43577059823775
iter: 71000, train loss: 1.3504277467727661, lr: 0.0010000000000000002
iter: 72000, train loss: 1.4995843172073364, lr: 0.0010000000000000002
iter: 73000, train loss: 1.2100510597229004, lr: 0.0010000000000000002
iter: 74000, train loss: 1.1113903522491455, lr: 0.0010000000000000002
iter: 75000, train loss: 1.2854045629501343, lr: 0.0010000000000000002
iter: 76000, train loss: 1.356999397277832, lr: 0.0010000000000000002
