C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\Resnet.py 
C:\Users\AIVS\PycharmProjects\tmo\Resnet.py:564: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  crop_idx = int(np.random.randint(0,7, 1))
iter: 1000, train loss: 3.7819442749023438, lr: 0.010000000000000002
iter: 2000, train loss: 3.490011692047119, lr: 0.010000000000000002
iter: 3000, train loss: 3.243164539337158, lr: 0.010000000000000002
iter: 4000, train loss: 2.7070529460906982, lr: 0.010000000000000002
iter: 5000, train loss: 2.776466131210327, lr: 0.010000000000000002
iter: 6000, train loss: 2.4331088066101074, lr: 0.010000000000000002
iter: 7000, train loss: 1.981727957725525, lr: 0.010000000000000002
iter: 8000, train loss: 2.4013140201568604, lr: 0.010000000000000002
iter: 9000, train loss: 1.765303134918213, lr: 0.010000000000000002
iter: 10000, train loss: 2.1819894313812256, lr: 0.010000000000000002
count : 21711, accuracy : 41.95200185500077
iter: 11000, train loss: 2.0572872161865234, lr: 0.010000000000000002
iter: 12000, train loss: 2.299065113067627, lr: 0.010000000000000002
iter: 13000, train loss: 1.790647268295288, lr: 0.010000000000000002
iter: 14000, train loss: 1.6642686128616333, lr: 0.010000000000000002
iter: 15000, train loss: 1.6738137006759644, lr: 0.010000000000000002
iter: 16000, train loss: 2.032670497894287, lr: 0.010000000000000002
iter: 17000, train loss: 1.557750940322876, lr: 0.010000000000000002
iter: 18000, train loss: 1.6353286504745483, lr: 0.010000000000000002
iter: 19000, train loss: 1.6074808835983276, lr: 0.010000000000000002
iter: 20000, train loss: 1.4125516414642334, lr: 0.010000000000000002
count : 26260, accuracy : 50.74200030916679
iter: 21000, train loss: 1.0188721418380737, lr: 0.010000000000000002
iter: 22000, train loss: 1.4550644159317017, lr: 0.010000000000000002
iter: 23000, train loss: 1.329602837562561, lr: 0.010000000000000002
iter: 24000, train loss: 1.043790340423584, lr: 0.010000000000000002
iter: 25000, train loss: 1.0328365564346313, lr: 0.010000000000000002
iter: 26000, train loss: 0.8929197192192078, lr: 0.010000000000000002
iter: 27000, train loss: 1.233498454093933, lr: 0.010000000000000002
iter: 28000, train loss: 1.5337202548980713, lr: 0.010000000000000002
iter: 29000, train loss: 1.3967266082763672, lr: 0.010000000000000002
iter: 30000, train loss: 0.8238561749458313, lr: 0.010000000000000002
count : 26811, accuracy : 51.80669346112228
iter: 31000, train loss: 1.0494229793548584, lr: 0.010000000000000002
iter: 32000, train loss: 1.021628737449646, lr: 0.010000000000000002
iter: 33000, train loss: 0.9359388947486877, lr: 0.010000000000000002
iter: 34000, train loss: 0.8230983018875122, lr: 0.010000000000000002
iter: 35000, train loss: 0.8030929565429688, lr: 0.010000000000000002
iter: 36000, train loss: 0.9969406127929688, lr: 0.010000000000000002
iter: 37000, train loss: 1.0612637996673584, lr: 0.010000000000000002
iter: 38000, train loss: 0.8450363278388977, lr: 0.010000000000000002
iter: 39000, train loss: 0.9683393239974976, lr: 0.010000000000000002
iter: 40000, train loss: 0.9938384890556335, lr: 0.010000000000000002
count : 26860, accuracy : 51.90137579223991
iter: 41000, train loss: 0.6954153180122375, lr: 0.010000000000000002
iter: 42000, train loss: 0.6353546380996704, lr: 0.010000000000000002
iter: 43000, train loss: 0.7995723485946655, lr: 0.010000000000000002
iter: 44000, train loss: 0.5794022083282471, lr: 0.010000000000000002
iter: 45000, train loss: 0.5290180444717407, lr: 0.010000000000000002
iter: 46000, train loss: 0.4489724636077881, lr: 0.010000000000000002
iter: 47000, train loss: 0.4748170077800751, lr: 0.010000000000000002
iter: 48000, train loss: 0.6449869275093079, lr: 0.010000000000000002
iter: 49000, train loss: 0.49275320768356323, lr: 0.010000000000000002
iter: 50000, train loss: 0.4764675199985504, lr: 0.0010000000000000002
count : 28679, accuracy : 55.41621579842325
iter: 51000, train loss: 0.5791394114494324, lr: 0.0010000000000000002
iter: 52000, train loss: 0.4496898353099823, lr: 0.0010000000000000002
iter: 53000, train loss: 0.38359418511390686, lr: 0.0010000000000000002
iter: 54000, train loss: 0.3486012816429138, lr: 0.0010000000000000002
iter: 55000, train loss: 0.21091105043888092, lr: 0.0010000000000000002
iter: 56000, train loss: 0.2519659101963043, lr: 0.0010000000000000002
iter: 57000, train loss: 0.2304459661245346, lr: 0.0010000000000000002
iter: 58000, train loss: 0.2189638614654541, lr: 0.0010000000000000002
iter: 59000, train loss: 0.23076650500297546, lr: 0.0010000000000000002
iter: 60000, train loss: 0.320959210395813, lr: 0.0010000000000000002
count : 30962, accuracy : 59.82763951151646
iter: 61000, train loss: 0.11297178268432617, lr: 0.0010000000000000002
iter: 62000, train loss: 0.18856050074100494, lr: 0.0010000000000000002
iter: 63000, train loss: 0.17782042920589447, lr: 0.0010000000000000002
iter: 64000, train loss: 0.19041776657104492, lr: 0.0010000000000000002
iter: 65000, train loss: 0.1967027634382248, lr: 0.0010000000000000002
iter: 66000, train loss: 0.27449649572372437, lr: 0.0010000000000000002
iter: 67000, train loss: 0.21170368790626526, lr: 0.0010000000000000002
iter: 68000, train loss: 0.12241878360509872, lr: 0.0010000000000000002
iter: 69000, train loss: 0.27186039090156555, lr: 0.0010000000000000002
iter: 70000, train loss: 0.18695320188999176, lr: 0.0010000000000000002
count : 30944, accuracy : 59.79285824702427
iter: 71000, train loss: 0.17022642493247986, lr: 0.0010000000000000002
iter: 72000, train loss: 0.0869646817445755, lr: 0.0010000000000000002
iter: 73000, train loss: 0.1375351846218109, lr: 0.0010000000000000002
iter: 74000, train loss: 0.21141576766967773, lr: 0.0010000000000000002
iter: 75000, train loss: 0.13829533755779266, lr: 0.0010000000000000002
iter: 76000, train loss: 0.13442696630954742, lr: 0.0010000000000000002
iter: 77000, train loss: 0.18622645735740662, lr: 0.0010000000000000002
iter: 78000, train loss: 0.03606077656149864, lr: 0.0010000000000000002
iter: 79000, train loss: 0.09611040353775024, lr: 0.0010000000000000002
iter: 80000, train loss: 0.08541345596313477, lr: 0.0010000000000000002
count : 30969, accuracy : 59.841165558818986
iter: 81000, train loss: 0.08882451057434082, lr: 0.0010000000000000002
iter: 82000, train loss: 0.11275728046894073, lr: 0.0010000000000000002
iter: 83000, train loss: 0.0944117084145546, lr: 0.0010000000000000002
iter: 84000, train loss: 0.12991581857204437, lr: 0.0010000000000000002
iter: 85000, train loss: 0.09605144709348679, lr: 0.0010000000000000002
iter: 86000, train loss: 0.08707912266254425, lr: 0.0010000000000000002
iter: 87000, train loss: 0.047557465732097626, lr: 0.0010000000000000002
iter: 88000, train loss: 0.11998997628688812, lr: 0.0010000000000000002
iter: 89000, train loss: 0.21211110055446625, lr: 0.0010000000000000002
iter: 90000, train loss: 0.03314012661576271, lr: 0.0010000000000000002
count : 30952, accuracy : 59.80831658679858
iter: 91000, train loss: 0.11620120704174042, lr: 0.0010000000000000002
iter: 92000, train loss: 0.13612166047096252, lr: 0.0010000000000000002
iter: 93000, train loss: 0.08583882451057434, lr: 0.0010000000000000002
iter: 94000, train loss: 0.12688829004764557, lr: 0.0010000000000000002
iter: 95000, train loss: 0.15998239815235138, lr: 0.0010000000000000002
iter: 96000, train loss: 0.12869183719158173, lr: 0.0010000000000000002
iter: 97000, train loss: 0.05916862189769745, lr: 0.0010000000000000002
iter: 98000, train loss: 0.13132791221141815, lr: 0.0010000000000000002
iter: 99000, train loss: 0.08025354892015457, lr: 0.0010000000000000002
iter: 100000, train loss: 0.14699116349220276, lr: 0.00010000000000000003
count : 30916, accuracy : 59.73875405781419
iter: 101000, train loss: 0.061943452805280685, lr: 0.00010000000000000003
iter: 102000, train loss: 0.04567968472838402, lr: 0.00010000000000000003
iter: 103000, train loss: 0.10914814472198486, lr: 0.00010000000000000003
iter: 104000, train loss: 0.08405130356550217, lr: 0.00010000000000000003
iter: 105000, train loss: 0.11265785992145538, lr: 0.00010000000000000003
iter: 106000, train loss: 0.0810973048210144, lr: 0.00010000000000000003
iter: 107000, train loss: 0.12659016251564026, lr: 0.00010000000000000003
iter: 108000, train loss: 0.13527542352676392, lr: 0.00010000000000000003
iter: 109000, train loss: 0.05620068311691284, lr: 0.00010000000000000003
