C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\vgg.py 
C:\Users\AIVS\PycharmProjects\tmo\vgg.py:249: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  crop_idx = int(np.random.randint(0,7, 1))
iter: 1000, train loss: 4.622088432312012, lr: 0.001
iter: 2000, train loss: 3.998568534851074, lr: 0.001
iter: 3000, train loss: 3.899038076400757, lr: 0.001
iter: 4000, train loss: 3.44084095954895, lr: 0.001
iter: 5000, train loss: 3.1056389808654785, lr: 0.001
iter: 6000, train loss: 3.201777696609497, lr: 0.001
iter: 7000, train loss: 2.73335337638855, lr: 0.001
iter: 8000, train loss: 2.6757266521453857, lr: 0.001
iter: 9000, train loss: 2.1792848110198975, lr: 0.001
iter: 10000, train loss: 2.5425474643707275, lr: 0.001
count : 19381, accuracy : 37.4497603957335
iter: 11000, train loss: 2.661102056503296, lr: 0.001
iter: 12000, train loss: 2.285430431365967, lr: 0.001
iter: 13000, train loss: 2.042625665664673, lr: 0.001
iter: 14000, train loss: 2.0792484283447266, lr: 0.001
iter: 15000, train loss: 2.0118823051452637, lr: 0.001
iter: 16000, train loss: 1.8133302927017212, lr: 0.001
iter: 17000, train loss: 1.643031358718872, lr: 0.001
iter: 18000, train loss: 2.0954270362854004, lr: 0.001
iter: 19000, train loss: 1.746904730796814, lr: 0.001
iter: 20000, train loss: 1.9654607772827148, lr: 0.001
count : 25744, accuracy : 49.744937393723916
iter: 21000, train loss: 1.3922221660614014, lr: 0.001
iter: 22000, train loss: 1.8280160427093506, lr: 0.001
iter: 23000, train loss: 1.507967472076416, lr: 0.001
iter: 24000, train loss: 1.1716046333312988, lr: 0.001
iter: 25000, train loss: 1.5435768365859985, lr: 0.001
iter: 26000, train loss: 1.6431254148483276, lr: 0.001
iter: 27000, train loss: 1.5779612064361572, lr: 0.001
iter: 28000, train loss: 1.5657238960266113, lr: 0.001
iter: 29000, train loss: 1.6705927848815918, lr: 0.001
iter: 30000, train loss: 1.1873300075531006, lr: 0.001
count : 28977, accuracy : 55.992038955016234
iter: 31000, train loss: 1.2376619577407837, lr: 0.001
iter: 32000, train loss: 1.444242238998413, lr: 0.001
iter: 33000, train loss: 1.2222347259521484, lr: 0.001
iter: 34000, train loss: 1.2586593627929688, lr: 0.001
iter: 35000, train loss: 1.3299226760864258, lr: 0.001
iter: 36000, train loss: 1.3970078229904175, lr: 0.001
iter: 37000, train loss: 1.08523428440094, lr: 0.001
iter: 38000, train loss: 1.226509928703308, lr: 0.001
iter: 39000, train loss: 1.223741888999939, lr: 0.001
iter: 40000, train loss: 1.4592241048812866, lr: 0.001
count : 30967, accuracy : 59.83730097387541
iter: 41000, train loss: 1.3360741138458252, lr: 0.001
iter: 42000, train loss: 1.284773349761963, lr: 0.001
iter: 43000, train loss: 1.363081455230713, lr: 0.001
iter: 44000, train loss: 1.456099271774292, lr: 0.001
iter: 45000, train loss: 1.1194396018981934, lr: 0.001
iter: 46000, train loss: 0.7981065511703491, lr: 0.001
iter: 47000, train loss: 0.9330223798751831, lr: 0.001
iter: 48000, train loss: 1.2565107345581055, lr: 0.001
iter: 49000, train loss: 1.160722255706787, lr: 0.001
iter: 50000, train loss: 0.9906049370765686, lr: 0.0001
count : 32482, accuracy : 62.764724068635026
iter: 51000, train loss: 0.8173814415931702, lr: 0.0001
iter: 52000, train loss: 0.9741495847702026, lr: 0.0001
iter: 53000, train loss: 1.2887117862701416, lr: 0.0001
iter: 54000, train loss: 0.8004280924797058, lr: 0.0001
iter: 55000, train loss: 1.114150881767273, lr: 0.0001
iter: 56000, train loss: 0.534789502620697, lr: 0.0001
iter: 57000, train loss: 0.8976619839668274, lr: 0.0001
iter: 58000, train loss: 0.6607916355133057, lr: 0.0001
iter: 59000, train loss: 0.7499032020568848, lr: 0.0001
iter: 60000, train loss: 0.7865338325500488, lr: 0.0001
count : 34814, accuracy : 67.27083011284589
iter: 61000, train loss: 0.5521605610847473, lr: 0.0001
iter: 62000, train loss: 0.8094185590744019, lr: 0.0001
iter: 63000, train loss: 0.7210528254508972, lr: 0.0001
iter: 64000, train loss: 0.6831783056259155, lr: 0.0001
iter: 65000, train loss: 0.5611018538475037, lr: 0.0001
iter: 66000, train loss: 0.6658385396003723, lr: 0.0001
iter: 67000, train loss: 0.6480365991592407, lr: 0.0001
iter: 68000, train loss: 0.8016235828399658, lr: 0.0001
iter: 69000, train loss: 0.4444095194339752, lr: 0.0001
iter: 70000, train loss: 0.6751574277877808, lr: 0.0001
count : 34840, accuracy : 67.32106971711238
iter: 71000, train loss: 0.5346584916114807, lr: 0.0001
iter: 72000, train loss: 0.5864702463150024, lr: 0.0001
iter: 73000, train loss: 0.588547945022583, lr: 0.0001
iter: 74000, train loss: 0.7832891345024109, lr: 0.0001
iter: 75000, train loss: 0.49479442834854126, lr: 0.0001
iter: 76000, train loss: 0.8351263403892517, lr: 0.0001
iter: 77000, train loss: 0.8852651715278625, lr: 0.0001
iter: 78000, train loss: 0.9068354964256287, lr: 0.0001
iter: 79000, train loss: 0.5229094624519348, lr: 0.0001
iter: 80000, train loss: 0.7951920032501221, lr: 0.0001
count : 34939, accuracy : 67.51236667181945
iter: 81000, train loss: 0.5910618305206299, lr: 0.0001
iter: 82000, train loss: 0.5580510497093201, lr: 0.0001
iter: 83000, train loss: 0.698974072933197, lr: 0.0001
iter: 84000, train loss: 0.5650293827056885, lr: 0.0001
iter: 85000, train loss: 0.692798912525177, lr: 0.0001
iter: 86000, train loss: 0.7978978157043457, lr: 0.0001
iter: 87000, train loss: 0.48554232716560364, lr: 0.0001
iter: 88000, train loss: 0.635441243648529, lr: 0.0001
iter: 89000, train loss: 0.3725956678390503, lr: 0.0001
iter: 90000, train loss: 0.9119196534156799, lr: 0.0001
count : 34921, accuracy : 67.47758540732725
iter: 91000, train loss: 0.7286757230758667, lr: 0.0001
iter: 92000, train loss: 0.5141860246658325, lr: 0.0001
iter: 93000, train loss: 0.3209350109100342, lr: 0.0001
iter: 94000, train loss: 0.48174339532852173, lr: 0.0001
iter: 95000, train loss: 0.5480150580406189, lr: 0.0001
iter: 96000, train loss: 0.5098250508308411, lr: 0.0001
iter: 97000, train loss: 0.6523202657699585, lr: 0.0001
iter: 98000, train loss: 0.5068691968917847, lr: 0.0001
iter: 99000, train loss: 0.5271281003952026, lr: 0.0001
iter: 100000, train loss: 0.4590683877468109, lr: 1e-05
count : 34866, accuracy : 67.37130932137887
iter: 101000, train loss: 0.5784237384796143, lr: 1e-05
iter: 102000, train loss: 0.783653974533081, lr: 1e-05
iter: 103000, train loss: 0.47407999634742737, lr: 1e-05
iter: 104000, train loss: 0.5237399935722351, lr: 1e-05
iter: 105000, train loss: 0.4809025526046753, lr: 1e-05
iter: 106000, train loss: 0.42753422260284424, lr: 1e-05
iter: 107000, train loss: 0.4330929219722748, lr: 1e-05
iter: 108000, train loss: 0.46679091453552246, lr: 1e-05
iter: 109000, train loss: 0.3979684114456177, lr: 1e-05
iter: 110000, train loss: 0.5725496411323547, lr: 1e-05
count : 35055, accuracy : 67.73651259854691
iter: 111000, train loss: 0.3990468978881836, lr: 1e-05
iter: 112000, train loss: 0.7557527422904968, lr: 1e-05
iter: 113000, train loss: 0.32010596990585327, lr: 1e-05
iter: 114000, train loss: 1.0013086795806885, lr: 1e-05
iter: 115000, train loss: 0.4921945333480835, lr: 1e-05
iter: 116000, train loss: 0.4715486466884613, lr: 1e-05
iter: 117000, train loss: 0.36950311064720154, lr: 1e-05
iter: 118000, train loss: 0.6089267134666443, lr: 1e-05
iter: 119000, train loss: 0.6890003085136414, lr: 1e-05
iter: 120000, train loss: 0.7262386679649353, lr: 1e-05
count : 35065, accuracy : 67.7558355232648
iter: 121000, train loss: 0.6205748915672302, lr: 1e-05
iter: 122000, train loss: 0.4271853268146515, lr: 1e-05
iter: 123000, train loss: 0.6543766856193542, lr: 1e-05
iter: 124000, train loss: 0.4082552492618561, lr: 1e-05
iter: 125000, train loss: 0.3616028130054474, lr: 1e-05
iter: 126000, train loss: 0.5142474174499512, lr: 1e-05
iter: 127000, train loss: 0.5210109353065491, lr: 1e-05
iter: 128000, train loss: 0.5501235723495483, lr: 1e-05
iter: 129000, train loss: 0.35383185744285583, lr: 1e-05
iter: 130000, train loss: 0.48340192437171936, lr: 1e-05
count : 35061, accuracy : 67.74810635337765
iter: 131000, train loss: 0.5074253082275391, lr: 1e-05
iter: 132000, train loss: 0.4013829827308655, lr: 1e-05
iter: 133000, train loss: 0.4044833481311798, lr: 1e-05
iter: 134000, train loss: 0.4398154020309448, lr: 1e-05
iter: 135000, train loss: 0.4715205729007721, lr: 1e-05
iter: 136000, train loss: 0.5158503651618958, lr: 1e-05
iter: 137000, train loss: 0.3928598165512085, lr: 1e-05
iter: 138000, train loss: 0.4021233916282654, lr: 1e-05
iter: 139000, train loss: 0.40594837069511414, lr: 1e-05
iter: 140000, train loss: 0.4846709072589874, lr: 1e-05
count : 35031, accuracy : 67.690137579224
iter: 141000, train loss: 0.5966220498085022, lr: 1e-05
iter: 142000, train loss: 0.6286861300468445, lr: 1e-05
iter: 143000, train loss: 0.548042893409729, lr: 1e-05
iter: 144000, train loss: 0.47622084617614746, lr: 1e-05
iter: 145000, train loss: 0.7297020554542542, lr: 1e-05
iter: 146000, train loss: 0.33524781465530396, lr: 1e-05
iter: 147000, train loss: 0.3759172260761261, lr: 1e-05
iter: 148000, train loss: 0.5208331942558289, lr: 1e-05
iter: 149000, train loss: 0.2488720864057541, lr: 1e-05
iter: 150000, train loss: 0.46338868141174316, lr: 1.0000000000000002e-06
count : 35048, accuracy : 67.7229865512444
iter: 151000, train loss: 0.7767954468727112, lr: 1.0000000000000002e-06
iter: 152000, train loss: 0.5148199796676636, lr: 1.0000000000000002e-06
iter: 153000, train loss: 0.3679124116897583, lr: 1.0000000000000002e-06
iter: 154000, train loss: 0.46736547350883484, lr: 1.0000000000000002e-06
iter: 155000, train loss: 0.645554780960083, lr: 1.0000000000000002e-06
iter: 156000, train loss: 0.6216705441474915, lr: 1.0000000000000002e-06
iter: 157000, train loss: 0.3941758871078491, lr: 1.0000000000000002e-06
iter: 158000, train loss: 0.5251873135566711, lr: 1.0000000000000002e-06
iter: 159000, train loss: 0.3749631643295288, lr: 1.0000000000000002e-06
iter: 160000, train loss: 0.38555964827537537, lr: 1.0000000000000002e-06
count : 35040, accuracy : 67.70752821147009
iter: 161000, train loss: 0.5289963483810425, lr: 1.0000000000000002e-06
iter: 162000, train loss: 0.5984783172607422, lr: 1.0000000000000002e-06
iter: 163000, train loss: 0.5357818007469177, lr: 1.0000000000000002e-06
iter: 164000, train loss: 0.28267619013786316, lr: 1.0000000000000002e-06
iter: 165000, train loss: 0.44444605708122253, lr: 1.0000000000000002e-06
iter: 166000, train loss: 0.517197847366333, lr: 1.0000000000000002e-06
iter: 167000, train loss: 0.47080567479133606, lr: 1.0000000000000002e-06
iter: 168000, train loss: 0.5505241751670837, lr: 1.0000000000000002e-06
iter: 169000, train loss: 0.3605242967605591, lr: 1.0000000000000002e-06
iter: 170000, train loss: 0.3569825291633606, lr: 1.0000000000000002e-06
count : 35039, accuracy : 67.7055959189983
iter: 171000, train loss: 0.4263750910758972, lr: 1.0000000000000002e-06
iter: 172000, train loss: 0.4263978898525238, lr: 1.0000000000000002e-06
iter: 173000, train loss: 0.3230772614479065, lr: 1.0000000000000002e-06
iter: 174000, train loss: 0.5134804844856262, lr: 1.0000000000000002e-06
iter: 175000, train loss: 0.44554927945137024, lr: 1.0000000000000002e-06
iter: 176000, train loss: 0.4549514353275299, lr: 1.0000000000000002e-06
iter: 177000, train loss: 0.4259255528450012, lr: 1.0000000000000002e-06
iter: 178000, train loss: 0.32763928174972534, lr: 1.0000000000000002e-06
iter: 179000, train loss: 0.48211780190467834, lr: 1.0000000000000002e-06
iter: 180000, train loss: 0.3585667312145233, lr: 1.0000000000000002e-06
count : 35043, accuracy : 67.71332508888545
iter: 181000, train loss: 0.5018993616104126, lr: 1.0000000000000002e-06
iter: 182000, train loss: 0.4301520884037018, lr: 1.0000000000000002e-06
iter: 183000, train loss: 0.537103533744812, lr: 1.0000000000000002e-06
iter: 184000, train loss: 0.3521943986415863, lr: 1.0000000000000002e-06
iter: 185000, train loss: 0.4970988929271698, lr: 1.0000000000000002e-06
iter: 186000, train loss: 0.5086321830749512, lr: 1.0000000000000002e-06
iter: 187000, train loss: 0.35000911355018616, lr: 1.0000000000000002e-06
iter: 188000, train loss: 0.45581841468811035, lr: 1.0000000000000002e-06
iter: 189000, train loss: 0.5731351971626282, lr: 1.0000000000000002e-06
iter: 190000, train loss: 0.48326706886291504, lr: 1.0000000000000002e-06
count : 35036, accuracy : 67.69979904158293
iter: 191000, train loss: 0.5479491353034973, lr: 1.0000000000000002e-06
iter: 192000, train loss: 0.544405996799469, lr: 1.0000000000000002e-06
iter: 193000, train loss: 0.6389038562774658, lr: 1.0000000000000002e-06
iter: 194000, train loss: 0.6259936094284058, lr: 1.0000000000000002e-06
iter: 195000, train loss: 0.383005827665329, lr: 1.0000000000000002e-06
iter: 196000, train loss: 0.3959808349609375, lr: 1.0000000000000002e-06
iter: 197000, train loss: 0.32190510630607605, lr: 1.0000000000000002e-06
iter: 198000, train loss: 0.4793919026851654, lr: 1.0000000000000002e-06
iter: 199000, train loss: 0.49493685364723206, lr: 1.0000000000000002e-06

Process finished with exit code 0
