C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\Resnet.py 
C:\Users\AIVS\PycharmProjects\tmo\Resnet.py:569: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  crop_idx = int(np.random.randint(0,7, 1))
iter: 1000, train loss: 4.548812389373779, lr: 0.010000000000000002
iter: 2000, train loss: 4.186922550201416, lr: 0.010000000000000002
iter: 3000, train loss: 3.517305612564087, lr: 0.010000000000000002
iter: 4000, train loss: 3.2671549320220947, lr: 0.010000000000000002
iter: 5000, train loss: 3.094473123550415, lr: 0.010000000000000002
iter: 6000, train loss: 2.857819080352783, lr: 0.010000000000000002
iter: 7000, train loss: 2.86981463432312, lr: 0.010000000000000002
iter: 8000, train loss: 2.7080507278442383, lr: 0.010000000000000002
iter: 9000, train loss: 2.428330421447754, lr: 0.010000000000000002
iter: 10000, train loss: 2.460205078125, lr: 0.010000000000000002
count : 18442, accuracy : 35.63533776472407
iter: 11000, train loss: 1.8689658641815186, lr: 0.010000000000000002
iter: 12000, train loss: 2.0457239151000977, lr: 0.010000000000000002
iter: 13000, train loss: 2.5254435539245605, lr: 0.010000000000000002
iter: 14000, train loss: 2.3645546436309814, lr: 0.010000000000000002
iter: 15000, train loss: 2.191767454147339, lr: 0.010000000000000002
iter: 16000, train loss: 1.3759456872940063, lr: 0.010000000000000002
iter: 17000, train loss: 1.6991350650787354, lr: 0.010000000000000002
iter: 18000, train loss: 1.6112277507781982, lr: 0.010000000000000002
iter: 19000, train loss: 1.713468313217163, lr: 0.010000000000000002
iter: 20000, train loss: 1.7644450664520264, lr: 0.010000000000000002
count : 25099, accuracy : 48.49860874942031
iter: 21000, train loss: 2.1509268283843994, lr: 0.010000000000000002
iter: 22000, train loss: 1.6186511516571045, lr: 0.010000000000000002
iter: 23000, train loss: 1.4363622665405273, lr: 0.010000000000000002
iter: 24000, train loss: 1.1499320268630981, lr: 0.010000000000000002
iter: 25000, train loss: 1.1004947423934937, lr: 0.010000000000000002
iter: 26000, train loss: 1.6444928646087646, lr: 0.010000000000000002
iter: 27000, train loss: 1.8527464866638184, lr: 0.010000000000000002
iter: 28000, train loss: 1.1734946966171265, lr: 0.010000000000000002
iter: 29000, train loss: 1.461910605430603, lr: 0.010000000000000002
iter: 30000, train loss: 1.282094955444336, lr: 0.010000000000000002
count : 22189, accuracy : 42.87563765651569
iter: 31000, train loss: 0.7687242031097412, lr: 0.010000000000000002
iter: 32000, train loss: 0.9059514403343201, lr: 0.010000000000000002
iter: 33000, train loss: 0.913465142250061, lr: 0.010000000000000002
iter: 34000, train loss: 1.065091848373413, lr: 0.010000000000000002
iter: 35000, train loss: 1.0461225509643555, lr: 0.010000000000000002
iter: 36000, train loss: 0.8979208469390869, lr: 0.010000000000000002
iter: 37000, train loss: 1.0348814725875854, lr: 0.010000000000000002
iter: 38000, train loss: 0.9467390775680542, lr: 0.010000000000000002
iter: 39000, train loss: 0.5941275954246521, lr: 0.010000000000000002
iter: 40000, train loss: 0.8225154280662537, lr: 0.010000000000000002
count : 28424, accuracy : 54.923481218117175
iter: 41000, train loss: 0.6716736555099487, lr: 0.010000000000000002
iter: 42000, train loss: 0.7355285286903381, lr: 0.010000000000000002
iter: 43000, train loss: 0.5087225437164307, lr: 0.010000000000000002
iter: 44000, train loss: 0.5047661662101746, lr: 0.010000000000000002
iter: 45000, train loss: 0.7350215315818787, lr: 0.010000000000000002
iter: 46000, train loss: 1.1272237300872803, lr: 0.010000000000000002
iter: 47000, train loss: 0.3931807279586792, lr: 0.010000000000000002
iter: 48000, train loss: 0.6728070974349976, lr: 0.010000000000000002
iter: 49000, train loss: 0.45610806345939636, lr: 0.010000000000000002
iter: 50000, train loss: 0.7689180374145508, lr: 0.0010000000000000002
count : 29391, accuracy : 56.79200803833668
iter: 51000, train loss: 0.3587363362312317, lr: 0.0010000000000000002
iter: 52000, train loss: 0.35674527287483215, lr: 0.0010000000000000002
iter: 53000, train loss: 0.4168153405189514, lr: 0.0010000000000000002
iter: 54000, train loss: 0.2177474945783615, lr: 0.0010000000000000002
iter: 55000, train loss: 0.11330859363079071, lr: 0.0010000000000000002
iter: 56000, train loss: 0.3872268795967102, lr: 0.0010000000000000002
iter: 57000, train loss: 0.3128296732902527, lr: 0.0010000000000000002
